Behörde,Delikt,Monat,bekanntgewordene Fälle,davon Versuche,Aufklärungsquote in %
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2019,5717,2376,13.85
Nordrhein-Westfalen,Einbruchdelikte,September 2019,4353,1834,14.59
Nordrhein-Westfalen,Einbruchdelikte,August 2019,4969,2019,13.38
Nordrhein-Westfalen,Einbruchdelikte,Juli 2019,5752,2266,15.49
Nordrhein-Westfalen,Einbruchdelikte,Juni 2019,4320,1709,15.14
Nordrhein-Westfalen,Einbruchdelikte,Mai 2019,5835,2427,14
Nordrhein-Westfalen,Einbruchdelikte,April 2019,5636,2373,13.47
Nordrhein-Westfalen,Einbruchdelikte,März 2019,6282,2513,12.59
Nordrhein-Westfalen,Einbruchdelikte,Februar 2019,7340,3004,10.95
Nordrhein-Westfalen,Einbruchdelikte,Januar 2019,6591,2705,8.68
Nordrhein-Westfalen,Einbruchdelikte,Dezember 2018,5465,2226,16.18
Nordrhein-Westfalen,Einbruchdelikte,November 2018,6103,2579,13.88
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2018,5305,2231,14.08
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2014,9158,3729,19.73
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2019,2023,1010,16.66
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,September 2019,1597,828,17.91
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,August 2019,1678,832,20.8
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Juli 2019,1990,971,21.91
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Juni 2019,1450,742,22.14
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Mai 2019,2129,1017,17.47
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,April 2019,2261,1118,16.28
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,März 2019,2791,1214,13.11
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Februar 2019,3452,1513,10.2
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Januar 2019,2828,1242,10.64
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Dezember 2018,2557,1121,18.34
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,November 2018,2427,1212,17.68
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2018,1805,916,18.73
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2014,4108,1814,14.41
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Oktober 2019,656,292,19.66
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,September 2019,442,190,21.27
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,August 2019,501,211,24.35
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Juli 2019,658,258,26.9
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Juni 2019,461,217,26.03
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Mai 2019,717,290,18.97
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,April 2019,824,356,17.96
